Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Job Description,Source,website,apply_link_url
Sales Development Representative (SDR),SalesUP,"New Delhi, Delhi, India",2026-01-19,https://wellfound.com/jobs/3768594-sales-development-representative-sdr,https://salesup.club,Actively Hiring,"Salary: INR 20000.0 - 30000.0 | Role: Sales Development Representative (SDR) | Company: SalesUP | Location: New Delhi, Delhi, India",Wellfound,https://salesup.club,https://wellfound.com/jobs/3768594-sales-development-representative-sdr
Business Development Executive,Samaaro,"Bengaluru, Karnataka, India",2026-07-27,https://wellfound.com/jobs/4520965-business-development-executive,https://samaaro.com,Actively Hiring,"Role: Business Development Executive | Company: Samaaro | Location: Bengaluru, Karnataka, India",Wellfound,https://samaaro.com,https://wellfound.com/jobs/4520965-business-development-executive
Business Development Executive,Katalisia,"Hyderabad, Telangana, India",2026-08-24,https://wellfound.com/jobs/4627310-business-development-executive,http://www.katalisia.com/,Actively Hiring,"Salary: INR 300000.0 - 360000.0 | Role: Business Development Executive | Company: Katalisia | Location: Hyderabad, Telangana, India",Wellfound,http://www.katalisia.com/,https://wellfound.com/jobs/4627310-business-development-executive
Sales Development Representative (SDR) — Remote India,Reece,"Davenport, Iowa, United States",2026-08-25,https://wellfound.com/jobs/4628458-sales-development-representative-sdr-remote-india-clone,https://callreece.ai,Actively Hiring,"Role: Sales Development Representative (SDR) — Remote India | Company: Reece | Location: Davenport, Iowa, United States",Wellfound,https://callreece.ai,https://wellfound.com/jobs/4628458-sales-development-representative-sdr-remote-india-clone
Lead Generation Intern – Global (Remote),Nimish web logic Technologies,"Bareilly, Uttar Pradesh, India",2026-07-25,https://wellfound.com/jobs/4516299-lead-generation-intern-global-remote,https://www.nimishweblogictechnologies.com,Actively Hiring,"Salary: INR 1000.0 - 3000.0 | Role: Lead Generation Intern – Global (Remote) | Company: Nimish web logic Technologies | Location: Bareilly, Uttar Pradesh, India",Wellfound,https://www.nimishweblogictechnologies.com,https://wellfound.com/jobs/4516299-lead-generation-intern-global-remote
Business Development Executive - IT Services (AI & Web),Solvornx Solutions,"Tamil Nadu, India",2026-06-23,https://wellfound.com/jobs/4377478-business-development-executive-it-services-ai-web,https://solvornx.com/,Actively Hiring,"Role: Business Development Executive - IT Services (AI & Web) | Company: Solvornx Solutions | Location: Tamil Nadu, India",Wellfound,https://solvornx.com/,https://wellfound.com/jobs/4377478-business-development-executive-it-services-ai-web
Business Development Associate,uprio,"Bengaluru, Karnataka, India / Hyderabad, Telangana, India / Tamil Nadu, India",2026-09-17,https://wellfound.com/jobs/4728246-business-development-associate,https://www.uprio.com/,Actively Hiring,"Salary: INR 300000.0 - 500000.0 | Role: Business Development Associate | Company: uprio | Location: Bengaluru, Karnataka, India / Hyderabad, Telangana, India / Tamil Nadu, India",Wellfound,https://www.uprio.com/,https://wellfound.com/jobs/4728246-business-development-associate
Digital Marketing & Lead Generation-Intern,CognixNexus,"Pune, Maharashtra, India",2026-08-31,https://wellfound.com/jobs/4657069-digital-marketing-lead-generation-intern,https://cognixnexus.com,Actively Hiring,"Role: Digital Marketing & Lead Generation-Intern | Company: CognixNexus | Location: Pune, Maharashtra, India",Wellfound,https://cognixnexus.com,https://wellfound.com/jobs/4657069-digital-marketing-lead-generation-intern
Business Development Manager – Brand Partnerships,LeBrandsSpace Digital,"New Delhi, Delhi, India",2026-08-19,https://wellfound.com/jobs/4605463-business-development-manager-brand-partnerships,https://lebrands.space,Actively Hiring,"Salary: INR 20000.0 - 50000.0 | Role: Business Development Manager – Brand Partnerships | Company: LeBrandsSpace Digital | Location: New Delhi, Delhi, India",Wellfound,https://lebrands.space,https://wellfound.com/jobs/4605463-business-development-manager-brand-partnerships
Demand Generation Intern,Quash,"Bengaluru, Karnataka, India",2026-07-15,https://wellfound.com/jobs/4305664-demand-generation-intern,https://quashbugs.com/,Actively Hiring,"Role: Demand Generation Intern | Company: Quash | Location: Bengaluru, Karnataka, India",Wellfound,https://quashbugs.com/,https://wellfound.com/jobs/4305664-demand-generation-intern
