Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Job Description,Source,website,apply_link_url
Entry-Level Python Engineer [32870],Stealth Startup,New York (NY),2026-09-04,https://www.jobleads.com/us/job/entry-level-python-engineer-32870--new-york--e9844c1cbbd226225afea092b8648ca02,https://www.stealthstartup.com,Actively Hiring,"Company: Stealth Startup | We’re looking for an Entry-Level Python Engineer to join our growing engineering team. This role is ideal for recent graduates or early-career engineers who are excited to build scalable applications, work with modern technologies, and grow their skills in a collaborative, fast-paced environment. You’ll work closely with senior engineers, product managers, and designers to develop backend services, APIs, and data-driven features that power customer-facing products. What You’ll Do Write clean, efficient, and well-documented Python code Build and maintain backend services and RESTful APIs Debug, test, and optimize applications for performance and reliability Work with databases (SQL and/or NoSQL) Participate in code reviews and agile development processes Learn and apply software engineering best practices Required Qualifications Bachelor’s degree in Computer Science, Engineering, or related field (or equivalent experience) Solid understanding of Python fundame",JobLeads,https://www.stealthstartup.com,https://www.jobleads.com/us/job/entry-level-python-engineer-32870--new-york--e9844c1cbbd226225afea092b8648ca02
Open Source Python SDK Engineer for AI Observability,"Braintrust Data, Inc.",New York (NY),2026-09-04,https://www.jobleads.com/us/job/open-source-python-sdk-engineer-for-ai-observability--new-york--e60ffb2a7f4c0bdafc05df79f88ffcc39,https://www.braintrustdata.com,Actively Hiring,"Braintrust Data, Inc. is hiring Open Source Python SDK Engineer for AI Observability in New York. Apply now with JobLeads!",JobLeads,https://www.braintrustdata.com,https://www.jobleads.com/us/job/open-source-python-sdk-engineer-for-ai-observability--new-york--e60ffb2a7f4c0bdafc05df79f88ffcc39
Remote Python Engineer for MCP & Tooling,Mindrift,New York (NY),2026-09-04,https://www.jobleads.com/us/job/remote-python-engineer-for-mcp-tooling--new-york--efa903812758fca633124064e73a76ea5,https://www.mindrift.com,Actively Hiring,Mindrift is hiring Remote Python Engineer for MCP & Tooling in New York. Apply now with JobLeads!,JobLeads,https://www.mindrift.com,https://www.jobleads.com/us/job/remote-python-engineer-for-mcp-tooling--new-york--efa903812758fca633124064e73a76ea5
Senior Python Backend Engineer | Remote Full-Stack Lead,Worky,New York (NY),2026-09-04,https://www.jobleads.com/us/job/senior-python-backend-engineer-remote-full-stack-lead--new-york--effa2f6e17dab589b77a10bde116e0a0d,https://www.worky.com,Actively Hiring,"Worky is seeking a Senior Full-Stack Developer focused on backend Python to join our remote-first team in the PST timezone. You will own backend design and contribute to frontend tasks, collaborating with product managers and designers from concept to deployment. You'll work with Django or FastAPI, PostgreSQL, Redis, and AWS, building scalable APIs, improving performance, and guiding best practices. Strong English communication and startup mindset required.",JobLeads,https://www.worky.com,https://www.jobleads.com/us/job/senior-python-backend-engineer-remote-full-stack-lead--new-york--effa2f6e17dab589b77a10bde116e0a0d
Remote Python Engineer – Backend APIs (Entry-Level),Stealth Startup,New York (NY),2026-09-04,https://www.jobleads.com/us/job/remote-python-engineer-backend-apis-entry-level--new-york--ea3b2229f500e5d60e25fb61042cb2456,https://www.stealthstartup.com,Actively Hiring,"Company: Stealth Startup | A dynamic technology company is seeking an Entry-Level Python Engineer to join their engineering team. This fully remote role is perfect for recent graduates eager to develop backend services and APIs in a collaborative environment. Required qualifications include a Bachelor’s degree in a related field and a solid understanding of Python fundamentals. The position offers a competitive salary up to $150,000 base plus equity, with teams based in Boston and NYC.",JobLeads,https://www.stealthstartup.com,https://www.jobleads.com/us/job/remote-python-engineer-backend-apis-entry-level--new-york--ea3b2229f500e5d60e25fb61042cb2456
Senior Python Engineer - FastAPI for RL Gym Projects,Turing,New York (NY),2026-09-04,https://www.jobleads.com/us/job/senior-python-engineer-fastapi-for-rl-gym-projects--new-york--e146c68e2f6eb5fc5f79935c201420982,https://www.turing.com,Actively Hiring,Turing is hiring Senior Python Engineer - FastAPI for RL Gym Projects in New York. Apply now with JobLeads!,JobLeads,https://www.turing.com,https://www.jobleads.com/us/job/senior-python-engineer-fastapi-for-rl-gym-projects--new-york--e146c68e2f6eb5fc5f79935c201420982
Full-Stack React & Python Engineer,ContractStaffingRecruiters.com,Stamford (CT),2026-09-04,https://www.jobleads.com/us/job/full-stack-react-python-engineer--stamford--eb45e62bbc81f07b6cc047aac523b1959,https://www.contractstaffingrecruiterscom.com,Actively Hiring,"ContractStaffingRecruiters.com is in search of a skilled React + Python Developer to design and maintain scalable web applications. The ideal candidate should have substantial experience with building user-friendly interfaces in React and developing back-end APIs using Python. Responsibilities include optimizing applications for performance, collaborating with cross-functional teams, and maintaining CI/CD pipelines. Ideal candidates will possess strong knowledge of JavaScript, Python frameworks, HTML5, CSS3, and databases.",JobLeads,https://www.contractstaffingrecruiterscom.com,https://www.jobleads.com/us/job/full-stack-react-python-engineer--stamford--eb45e62bbc81f07b6cc047aac523b1959
Remote Python Backend Engineer for APIs & Docker (Contract),Mercor,New York (NY),2026-09-04,https://www.jobleads.com/us/job/remote-python-backend-engineer-for-apis-docker-contract--new-york--e1b5c0b745716b7bfbf2621eeff9b9857,https://www.mercor.com,Actively Hiring,"Work Setting: Remote | Salary: USD 55,000 - 69,000",JobLeads,https://www.mercor.com,https://www.jobleads.com/us/job/remote-python-backend-engineer-for-apis-docker-contract--new-york--e1b5c0b745716b7bfbf2621eeff9b9857
Senior Python Backend Engineer — Remote & AI SaaS,Hire With Jarvis,Lance Melendez,2026-09-04,https://www.jobleads.com/us/job/senior-python-backend-engineer-remote-ai-saas--new-york--ecad1fb6d2c1a7d4f2bfe89d6ace55f59,https://www.hirewithjarvis.com,Actively Hiring,Hire With Jarvis - Lance Melendez is hiring Senior Python Backend Engineer — Remote & AI SaaS in New York. Apply now with JobLeads!,JobLeads,https://www.hirewithjarvis.com,https://www.jobleads.com/us/job/senior-python-backend-engineer-remote-ai-saas--new-york--ecad1fb6d2c1a7d4f2bfe89d6ace55f59
"Senior Backend Engineer (Remote) - Python, AWS, Impact",BlueCargo,New York (NY),2026-09-04,https://www.jobleads.com/us/job/senior-backend-engineer-remote-python-aws-impact--new-york--e2c00bb348503960edc13aa087af766cd,https://www.bluecargo.io,Actively Hiring,"BlueCargo is hiring Senior Backend Engineer (Remote) - Python, AWS, Impact in New York. Apply now with JobLeads!",JobLeads,https://www.bluecargo.io,https://www.jobleads.com/us/job/senior-backend-engineer-remote-python-aws-impact--new-york--e2c00bb348503960edc13aa087af766cd
"Remote Software Engineer (Go, Python, TS) for AI Code",YO AI Labs,New York (NY),2026-09-11,https://www.jobleads.com/us/job/remote-software-engineer-go-python-ts-for-ai-code--new-york--e7484c62eca506dcc5bf7970d6d4de1f4,https://www.yoai.com,Actively Hiring,"YO AI Labs is seeking a contract Software Engineer to design and implement Go, Python, and TypeScript solutions for AI model training and evaluation. This remote role emphasizes writing high-quality code, unit tests, and clear documentation to support diverse AI training use cases. You will review sample code, identify edge cases and best practices, and refine prompts and prompts to improve AI-generated outputs.",JobLeads,https://www.yoai.com,https://www.jobleads.com/us/job/remote-software-engineer-go-python-ts-for-ai-code--new-york--e7484c62eca506dcc5bf7970d6d4de1f4
Biology AI Tutor with Python - Remote Part-Time,Mindrift,New York (NY),2026-09-04,https://www.jobleads.com/us/job/freelance-biology-expert-with-python-ai-trainer--new-york--e12145048c087cb04de267c1fb4e21cdc,https://www.mindrift.com,Actively Hiring,Mindrift is hiring Freelance Biology Expert with Python - AI Trainer in New York. Apply now with JobLeads!,JobLeads,https://www.mindrift.com,https://www.jobleads.com/us/job/freelance-biology-expert-with-python-ai-trainer--new-york--e12145048c087cb04de267c1fb4e21cdc
Remote Software Engineer: Python + ASP.NET + SQL,NBCUniversal,New York (NY),2026-09-04,https://www.jobleads.com/us/job/remote-software-engineer-python-asp-net-sql--new-york--efc22218386e7f9d3f119a8dea68dbc9f,https://www.nbcuniversal.com,Actively Hiring,NBCUniversal is hiring Remote Software Engineer: Python + ASP.NET + SQL in New York. Apply now with JobLeads!,JobLeads,https://www.nbcuniversal.com,https://www.jobleads.com/us/job/remote-software-engineer-python-asp-net-sql--new-york--efc22218386e7f9d3f119a8dea68dbc9f
Senior Python AI/ML Integrations Engineer,Clickhouse,"Los Angeles (CA), San Francisco (CA), New York (NY)",2026-09-04,https://www.jobleads.com/us/job/senior-python-ai-ml-integrations-engineer--los-angeles--san-francisco--new-york--e2811b426a113b14a02f71f4ef6603d96,https://www.clickhouse.com,Actively Hiring,"Company: Clickhouse | ClickHouse is seeking a Senior Software Engineer specializing in the AI & ML ecosystem to own and evolve core AI integrations in ClickHouse’s ecosystem. You’ll build production-grade Python connectors and SDKs, enabling Data Scientists to harness ClickHouse's speed at scale within RAG pipelines and feature stores. You’ll lead design and performance improvements for AI/LLM integrations, engage with open-source communities, and collaborate with Product, Cloud, and other engineering teams to align",JobLeads,https://www.clickhouse.com,https://www.jobleads.com/us/job/senior-python-ai-ml-integrations-engineer--los-angeles--san-francisco--new-york--e2811b426a113b14a02f71f4ef6603d96
"Open Source Engineer - Python Remote, New York City, +more","Braintrust Data, Inc.",New York (NY),2026-09-04,https://www.jobleads.com/us/job/open-source-engineer-python-remote-new-york-city-more--new-york--e4db7a36e05a2ad2c526723c507b51a92,https://www.braintrustdata.com,Actively Hiring,"Braintrust Data, Inc. is hiring Open Source Engineer - Python Remote, New York City, Seattle in New York. Apply now with JobLeads!",JobLeads,https://www.braintrustdata.com,https://www.jobleads.com/us/job/open-source-engineer-python-remote-new-york-city-more--new-york--e4db7a36e05a2ad2c526723c507b51a92
System Administrator with Linux/ Python / R - Language Experience - Remote,"The Dignify Solutions, LLC",New Jersey,2026-09-04,https://www.jobleads.com/us/job/system-administrator-with-linux-python-r-language-experience-remote--new-jersey--eee3cc3d6bb102ea552830af919d6319b,https://www.thedignify.com,Actively Hiring,"The Dignify Solutions, LLC is hiring System Administrator with Linux/ Python / R - Language Experience - Remote in New Jersey. Apply now with JobLeads!",JobLeads,https://www.thedignify.com,https://www.jobleads.com/us/job/system-administrator-with-linux-python-r-language-experience-remote--new-jersey--eee3cc3d6bb102ea552830af919d6319b
MCP & Tools Python Developer - Agent Evaluation Infrastructure,Mindrift,New York (NY),2026-09-04,https://www.jobleads.com/us/job/mcp-tools-python-developer-agent-evaluation-infrastructure--new-york--e833d12e356bec5eccf8b76049da3890f,https://www.mindrift.com,Actively Hiring,Mindrift is hiring MCP & Tools Python Developer - Agent Evaluation Infrastructure in New York. Apply now with JobLeads!,JobLeads,https://www.mindrift.com,https://www.jobleads.com/us/job/mcp-tools-python-developer-agent-evaluation-infrastructure--new-york--e833d12e356bec5eccf8b76049da3890f
"Remote STEM Expert — Python, Data Analysis & Reasoning",YO AI Labs,New York (NY),2026-09-06,https://www.jobleads.com/us/job/remote-stem-expert-python-data-analysis-reasoning--new-york--e2396e836c71c3c933dfe50bf5584ef0b,https://www.yoai.com,Actively Hiring,"YO AI Labs is seeking STEM Experts to support an AI training project across chemistry, biology, math, physics, earth sciences, linguistics, and robotics. This remote contractor role offers flexible scheduling around ~15 hours per week. You will review AI-generated solutions, identify errors, and develop clear, reproducible reference solutions using Python for calculations, simulations, and data analysis. No prior AI experience is required.",JobLeads,https://www.yoai.com,https://www.jobleads.com/us/job/remote-stem-expert-python-data-analysis-reasoning--new-york--e2396e836c71c3c933dfe50bf5584ef0b
Remote CFD Aerodynamics Specialist - Python,YO AI Labs,New York (NY),2026-09-12,https://www.jobleads.com/us/job/remote-cfd-aerodynamics-specialist-python--new-york--e5a1bbd0d6df28dbaa21fdb1113c3cdcb,https://www.yoai.com,Actively Hiring,"Company: YO AI Labs | micro1 is seeking Aerodynamics Experts to support an AI training project involving CFD, aerodynamic analysis, engineering simulations, and Python. No prior AI experience is required. You will solve aerodynamic problems, develop computational models, run CFD workflows with Python and CLI tools, and review AI-generated solutions for technical accuracy. This is a remote, contractor position. Expected schedule is about 15 hours per week with flexible hours; compensation is hourly, $80–$130.",JobLeads,https://www.yoai.com,https://www.jobleads.com/us/job/remote-cfd-aerodynamics-specialist-python--new-york--e5a1bbd0d6df28dbaa21fdb1113c3cdcb
