Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Business Development Representative,Nected,Work From Home,12/09/2026,https://www.instahyre.com/job-433422-business-development-representative-at-nected-work-from-home/,https://www.nected.io,Actively Hiring,"Company: Nected | Skills: Sales, Lead Generation, Business Development, CRM, Hubspot, Zoho CRM, Salesforce, Microsoft Dynamics, Lead Qualification | Target: Business Development Representative",Instahyre
Business Development Representative,FlytBase,Pune,12/09/2026,https://www.instahyre.com/job-426755-business-development-representative-at-flytbase-pune/,https://www.flytbase.com,Actively Hiring,"Company: FlytBase | You're not just booking meetings; you're the first commercial touchpoint for Fortune 500 prospects making their first investment in autonomous site intelligence. You'll qualify inbound leads, run outbound campaigns, and here's the key difference: you'll close deals yourself when they don't need Senior AE involvement. This is Physical AI sales, autonomous drones that inspect energy sites, mines, and infrastructure 24/7 and you're educating executives who are defining how they think about the category. You'll work across Americas, Europe, and MEAA time zones from our Pune office, using AI tools to make 200 outbound touches feel like 200 handwritten notes. Responsibilities: Pipeline generation: Qualify every inbound lead from websites, events, and partner referrals; you decide what's real and what's noise. Outbound prospecting: Target named accounts via email, phone, and LinkedIn with a focus on competitive displacement and whitespace expansion. Deal closure: Own and c",Instahyre
Sales Development Representative,Libra AI,Bangalore,22/08/2026,https://internshala.com/job/detail/sales-development-representative-job-in-bangalore-at-libra-ai1787185981,https://www.libraai.in,Actively Hiring,"Company: Libra AI | About the job: Sales Development Representative- Outbound, North America Company: Libra AI (trylibra.ai) Location: Bengaluru/ Remote Shift: 6:30 PM 3:00 AM IST (covers 9:00 AM 5:00 PM ET; shifts by an hour with US daylight saving) Experience: 3+ years in B2B software sales, at least 2 of them outbound About Libra AI Libra is an agentic Work OS. You describe a task in plain English and Libra spins up an autonomous agent that owns the workflow end to end- briefing you before meetings, writing up decisions and action items live, chasing tickets stuck in review, drafting the deck, answering questions grounded in your company's own data. It connects to 250+ tools teams already use, including Slack, Gmail, Notion, Jira, Drive, Salesforce, and HubSpot. The founding team is building the GTM motion now, and this is one of the first sales hires. We're well capitalized and are looking for exceptional GTM talent to join us. The role You'll own top-of-funnel for North America. T",Internshala
Sales Development Representative,Tutorcloud.ai,Bangalore,05/09/2026,https://internshala.com/job/detail/sales-development-representative-job-in-bangalore-at-tutorcloudai1788482023,https://tutorcloud.ai,Actively Hiring,"Company: Tutorcloud.ai | About the job: Sales Development Representative, USA B2B SALES BENGALURU NIGHT SHIFT, US HOURS Also called Lead Qualification Specialist or Pre-Sales Executive. ABOUT TUTORCLOUD TutorCloud is an AI learning platform for K-12 students, built by educators. Students are supported by an AI tutor that adapts to their pace of learning, while teachers use iTEMA to reduce time spent on lesson planning and grading. Schools purchase through our sales team, typically beginning with a paid pilot that converts into an annual subscription. This role represents the first point of engagement in that process, focused on the United States market. ABOUT THE ROLE You work leads generated by TutorCloud's marketing team through campaigns and inbound interest. Your responsibility is to engage each lead by phone, webinar and product demonstration, assess fit, and pass qualified opportunities to the sales team. KEY RESPONSIBILITIES Call leads generated by marketing to assess their inte",Internshala
Sales Development Representative,ClearTax For Business,Bangalore,06/09/2026,https://internshala.com/job/detail/sales-development-representative-job-in-bangalore-at-cleartax-for-business1789000328,https://www.cleartax.in,Actively Hiring,"Company: ClearTax For Business | About the job: Responsibilities (what you'll be expected to do): Generate qualified opportunities for the company by rigorously prospecting and researching in the assigned region/market Do rigorous research on companies, build an effective sales pipeline by effective prospecting, and lead follow-ups Strike and initiate conversations, and give product demonstrations with high-profile personas (CFOs, CIOs, finance heads, tax heads) of companies you are prospecting. Come up with creative/personalized emails and campaigns on Emails/LinkedIn/Calling etc to draw the attention of prospects. Be the face of ClearTax and pitch the company and our products to prospects. Constantly update the details of the lead, discussion, and activity in CRM. Generate leads and build relationships by nurturing warm prospects and finding new potential sales opportunities Requirements (what we look for in candidates) 1-5 years of experience in target-driven SaaS sales domain. MBA ",Internshala
Sales Development Representative,AsteroidX,Bangalore,11/09/2026,https://internshala.com/job/detail/fresher-sales-development-representative-job-in-bangalore-at-asteroidx1789375445,https://www.asteroidx.com,Actively Hiring,"Company: AsteroidX | About the job: Job Details: Title : Sales Development Representative (SDR) Location : Jayanagar, Bangalore Work Mode : 5 days a week in office Shift : 6:30 PM to 3:30 AM IST (Evening shift) Budget : 6.5 LPA to 9 LPA Please note that we do not provide cab facilities. However, for women employees, we have a separate arrangement to ensure their safety. They will log off from the office at 9 PM, commute home, and continue working from there until the end of their shift. We are a rapidly growing Amazon performance marketing agency based in Bangalore. Our dedication to driving growth for clients through data-driven and innovative solutions has positioned us as a top player in the industry. Recently recognized as one of the 'Top 15 Advertising Startups Making Waves in Toronto,' AsteroidX manages over $20 million in Amazon Ad spend annually and is certified as an Amazon Partner. You can learn more about us at https://www.asteroidx.com/. As we continue to expand our team, w",Internshala
Sales Development Representative,Lifie AI,Bangalore,11/09/2026,https://internshala.com/job/detail/sales-development-representative-job-in-bangalore-at-lifie-ai1789369585,https://www.lifie.ai,Actively Hiring,"Company: Lifie AI | About the job: About Lifie AI Lifie AI helps businesses automate customer engagement across voice calls, chat, and outbound campaigns. Our AI agents help sales and operations teams respond to leads faster, run high-volume outreach, qualify prospects, verify data, and improve conversion without increasing headcount. Backed by angel investors and experienced enterprise technology leaders, Lifie AI has crossed $120K in ARR and is continuing to grow. We are running pilots with NASDAQ-listed enterprises and building vendor and technology partnerships with multiple enterprise platforms. We work with businesses across India, North America, and other global markets. We are now expanding our sales team and looking for SDRs who can help us build a consistent, predictable pipeline. About the Role We are hiring a Sales Development Representative to identify target accounts, engage decision-makers, qualify opportunities, and book meetings for our sales team. This is a full-time,",Internshala
Sales Development Representative,The Takeoff AI,Bangalore,11/09/2026,https://internshala.com/job/detail/sales-development-representative-job-in-bangalore-at-the-takeoff-ai1789371624,https://www.thetakeoff.ai,Actively Hiring,"Company: The Takeoff AI | About the job: Sales Development Representative (US Market) Location: Bangalore, India Experience: 3+ years of SDR/BDR experience selling into the US market Compensation: Competitive, depending on experience and seniority Joining: Immediate / ASAP About ContraVault ContraVault is building AI-powered software for industrial construction companies to make estimating and bidding faster, more accurate, and less manual. Our technology helps estimating and commercial teams analyze bid packages, extract requirements, automate takeoffs from engineering drawings, identify discrepancies, and move from RFP to pricing faster. Were looking for an experienced US-focused SDR who can help us build pipeline and start meaningful conversations with decision-makers across the industrial construction and engineering space. What you'll do Own outbound prospecting into the US market across email, cold calling, LinkedIn, and other channels. Research target companies, accounts, and de",Internshala
Sales Development Representative,Volody,Bangalore,29/08/2026,https://internshala.com/job/detail/fresher-sales-development-representative-job-in-bangalore-at-volody1788136270,https://www.volody.com,Actively Hiring,"Company: Volody | About the job: Are you a tenacious, results-driven fresher ready to build career in Sales? Do you thrive in a fast-paced environment where 'no' is just another challenge to overcome? If you're a proactive and aggressive go-getter, we want you on our team as a Sales Development Representative for our cutting-edge SaaS solution! We are looking for a resilient, empathic business development executive to contribute to the growth of our company. The candidate will work closely with our seasoned Account Executive to support various aspects of the sales process and contribute to the growth of our client base. Responsibilities: Prospecting and Lead Generation: Research potential clients and industries to identify new business opportunities. Assist in creating and maintaining a database of prospective clients. Generate leads through various channels, such as emails, messages, calls and LinkedIn Aggressive Outreach: Lead the charge in prospecting potential clients through targe",Internshala
Sales Development Representative,Mareana,Bangalore,22/08/2026,https://internshala.com/job/detail/sales-development-representative-job-in-bangalore-at-mareana1787272358,https://www.mareana.com,Actively Hiring,"Company: Mareana | About the job: Job Description: Sales Development Representative (SDR), North America Location: Bengaluru Shift: US Shift About the Role We are seeking a Senior Sales Development Representative (SDR) to lead the front end of our inbound funnel. In this role, you will make sure every lead from our marketing-led growth engine receives timely, professional engagement and is guided smoothly through the early stages of our customer journey. This is not an entry-level role. We are looking for someone who has successfully performed the SDR function before, thrives in environments where processes are still evolving, and brings both the discipline to deliver results today and the initiative to shape how we work tomorrow. The work is methodical. You will use AI every day to research accounts and draft outreach, and as volume grows you will help automate the parts of the job that start out manual. Key Responsibilities Inbound Lead Management & SLA Compliance: Triage inbound lea",Internshala
